"filename","archetype","size","speed","damage","damage_deviation","damage_health_multiplier","damage_armor_multiplier","damage_prop_multiplier","impact_aggro_radius","impact_impulse","penetration","pierce","ignores_shields","impact_morale_damage","flight_suppression","impact_suppression","impact_push","explosion_pyro","explosion_delay"
"b_60mm_vortex.json","EXPLOSIVE_BULLET","0.440000","60","60","30","1.330000","0.660000","6","14","40000","400","4","False","0","0","0","900","assets/data/fx/pyros/pyro_exp_60mm_vortex_01.json","0"
"b_6ga_pellet.json","EXPLOSIVE_BULLET","0.050000","40","70","10","1","1.500000","0.200000","5","825","10","2","False","1","0","0","35","","10"
"b_6ga_pellet_split.json","EXPLOSIVE_BULLET","0.050000","40","4","2","1","1.500000","0.200000","2","30","5","1","False","0","0.015000","0.070000","0","","10"
"b_762_fmj.json","EXPLOSIVE_BULLET","0.050000","85","11","3","1","1","0.200000","6","35","20","2","False","2","0.050000","0.500000","8","","10"
"b_76mm_canister.json","EXPLOSIVE_BULLET","0.300000","80","9","2","1.330000","0.660000","4","8","0","5","3","False","0","0","0","0","","0"
"b_84mm_heat.json","EXPLOSIVE_BULLET","0.300000","40","175","20","1","1","2","25","0","10","4","False","0","0","0","0","assets/data/fx/pyros/pyro_exp_40mm_he.json","10"
"b_84mm_heat_split_01.json","EXPLOSIVE_BULLET","0.300000","35","175","20","1","1","2","25","0","10","4","False","0","0","0","0","assets/data/fx/pyros/pyro_exp_40mm_he.json","0"
"b_84mm_heat_split_02.json","EXPLOSIVE_BULLET","0.300000","40","175","20","1","1","2","25","0","10","4","False","0","0","0","0","assets/data/fx/pyros/pyro_exp_40mm_he.json","0"
"b_84mm_heat_split_03.json","EXPLOSIVE_BULLET","0.300000","50","175","20","1","1","2","25","0","10","4","False","0","0","0","0","assets/data/fx/pyros/pyro_exp_40mm_he.json","0"
"b_8mm_fmj.json","EXPLOSIVE_BULLET","0.050000","75","11","3","1","1","0.200000","6","45","20","2","False","0","0.050000","0.500000","10","","10"
"b_8mm_wildcat.json","EXPLOSIVE_BULLET","0.075000","105","35","15","1","1","0.200000","6","120","30","2","False","0","0.100000","0.550000","30","","10"
"b_8mm_wildcat_split.json","EXPLOSIVE_BULLET","0.075000","70","40","5","1","1","0.200000","1","80","20","2","False","0","0.100000","0.550000","15","","10"
"b_90mm_beehive.json","EXPLOSIVE_BULLET","0.100000","100","460","40","1.500000","0.750000","0.670000","10","0","1000","5","False","0","0","0","100","","0"
"b_90mm_beehive_split_01.json","EXPLOSIVE_BULLET","0.100000","100","33","5","1.500000","0.750000","1.500000","10","0","1000","4","False","0","0","0","100","","0"
"b_9mm_fmj.json","EXPLOSIVE_BULLET","0.050000","50","5","2.500000","1","1","0.200000","3","10","10","1","False","0","0.035000","0.100000","2.500000","","10"
"b_bottle.json","EXPLOSIVE_BULLET","0.100000","12","2","1.500000","1","1","1","3","0","1","1","False","2","0","0","9","","0"
"b_cell_concussion.json","EXPLOSIVE_BULLET","0.050000","55","85","15","1","1","1","1","40","1","2","False","0","0","5","45","","10"
"b_cell_glove.json","EXPLOSIVE_BULLET","0.050000","55","85","15","1","1","1","1","40","1","2","False","0","0","5","45","","10"
"b_cinderblock.json","EXPLOSIVE_BULLET","0.100000","9","9","4","1","0.600000","1.250000","3","200","1","1","True","2","0","0","25","","0"
"b_g_flash.json","EXPLOSIVE_BULLET","0.010000","10","1","0","1","1","1","10","100","1","1","False","50","0.100000","15","10","assets/data/fx/pyros/pyro_exp_flashbang.json","1.400000"
"b_g_frag.json","EXPLOSIVE_BULLET","0.010000","10","1","0","1","1","1","15","5","5","1","False","70","0.150000","8","10","assets/data/fx/pyros/pyro_exp_frag.json","10"
"b_g_smoke.json","SMOKE_BULLET","0.010000","8","5","0","1","1","1","12","0","3","1","False","0","0.250000","0","0","","0"
"b_g_smoke_split.json","SMOKE_BULLET","0.010000","8","5","0","1","1","1","18","0","3","1","False","0","0","0","0","","0"
"b_g_thermobaric.json","EXPLOSIVE_BULLET","0.010000","12","1","0","1","1","1","15","5","5","1","False","70","0.150000","8","10","assets/data/fx/pyros/pyro_exp_thermobaric.json","10"
"b_law.json","EXPLOSIVE_BULLET","0.100000","40","100","20","1","1","1","25","2000","10","4","False","30","15","12","100","assets/data/fx/pyros/pyro_exp_40mm_he.json","10"
"b_lyam.json","EXPLOSIVE_BULLET","0.600000","15","20","0","1","1","2","50","500","10","1","False","0","0","0","0","assets/data/fx/pyros/pyro_exp_40mm_he.json","0"
"b_null.json","EXPLOSIVE_BULLET","0.250000","100","4","0","1","1","1","5","1","40","1","False","1","0.500000","0","0","","10"
"b_punch.json","EXPLOSIVE_BULLET","0.100000","12","2","1.500000","1","1","1","3","0","1","1","False","2","0","0","9","","0"
"b_punch_zombie.json","EXPLOSIVE_BULLET","0.100000","18","2","0","1","1","1","3","0","1","1","False","2","0","0","4","","0"
"b_rock.json","EXPLOSIVE_BULLET","0.100000","11","3.500000","1.500000","1","0.500000","1.500000","3","100","1","1","True","2","0","0","9","","0"
"b_rpg_heat.json","EXPLOSIVE_BULLET","0.100000","30","75","25","1","1","2","25","200","10","4","False","30","1","12","100","assets/data/fx/pyros/pyro_exp_40mm_he.json","10"
"b_template_ballistic.json","EXPLOSIVE_BULLET","1","60","500","4","1","1","1","100","0","50","6","False","500","1","1","50","","5"
"b_test_01.json","EXPLOSIVE_BULLET","0.050000","75","8","5","1","1","1","1","0","1","1","False","0","0","0","0","","10"
"b_wip_geist.json","EXPLOSIVE_BULLET","0.100000","90","45","5","1","1","0.660000","7","0","200","4","False","0","0","0","0","","0"
"b_wip_vocc_coilgun.json","EXPLOSIVE_BULLET","1","60","500","4","1","1","1","100","0","50","6","False","500","1","1","50","","5"
